RESPONSE,NUMBERS,DIFFICULTY,LANGUAGE
Adoptado con fines nefastos,R8,Hard,es
Infracción sin consentimiento,R9,Medium,es
Alguien está bromeando,R10,Easy,es
Alguien está actuando una emoción,R11,Medium,es
Alguien con alergias,R12,Medium,es
Gafas,R13,Easy,es
Máscaras,R14,Easy,es
Algoritmo racista,R15,Hard,es
Usado para el tráfico de personas,R16,Hard,es
Usado para el tráfico de drogas,R17,Hard,es
Usado para transportar bienes ilegales,R18,Hard,es
Corrupción de datos de ubicación,R19,Medium,es
Internet se cae,R20,Easy,es
Expira el certificado de seguridad,R21,Medium,es
El fabricante no puede satisfacer la demanda,R22,Medium,es
Error en el código,R23,Medium,es
Se vuelve consciente,R24,Hard,es
Ataques adversarios,R25,Hard,es
Los conjuntos de datos están sesgados,R26,Medium,es
Datos personales filtrados,R27,Hard,es
Falla de la automatización,R28,Medium,es
Los servicios en la nube se caen,R29,Medium,es
Hackers,R30,Hard,es
Tomando el camino equivocado,R31,Easy,es
Hace demasiadas preguntas,R32,Medium,es
Las funciones son demasiado rápidas para los humanos,R33,Hard,es
No responde a las instrucciones,R34,Medium,es
Todos los sistemas simplemente dejan de funcionar un día,R35,Hard,es
Crashs aleatorios,R36,Medium,es
Perros locos,R37,Easy,es
Langostas,R38,Easy,es
Infestado de hormigas,R39,Easy,es
Daño corporal,R40,Medium,es
Rechazado por servicio,R41,Easy,es
La gente rechaza el producto o servicio,R42,Medium,es
Prejuicio aumentado,R43,Medium,es
Mejora el sesgo sistemático,R44,Medium,es
Reduce el acceso económico,R45,Medium,es
Reduce la interacción social,R46,Medium,es
Evita el acceso social,R47,Medium,es
Las personas pierden empleos,R48,Medium,es
Avergüenza al usuario,R49,Medium,es
Acelera el cambio climático,R50,Hard,es
Contamina el agua dulce,R51,Hard,es
Erradica una especie,R52,Hard,es
Impide objetos vivos,R53,Hard,es
Provoca una resurgencia del poder de carbón,R54,Hard,es
Aumenta las emisiones de gases de efecto invernadero,R55,Hard,es
Procesos legales interminables,R56,Medium,es
Cambio en las regulaciones,R57,Medium,es
Crea un monopolio,R58,Medium,es
Se vuelve completamente desregulado,R59,Hard,es
Intervención extranjera,R60,Hard,es
Continúa las desigualdades del capitalismo,R61,Hard,es
Promueve la división racial,R62,Hard,es
Promueve la revolución armada,R63,Hard,es
Tragedia de los comunes,R64,Hard,es
Provoca una pandemia,R65,Hard,es
la gente está adicta a eso,R66,Medium,es
Colapso del mercado,R67,Hard,es
La gente deja de creer en la ciencia,R68,Medium,es
Utilizado por un régimen represivo,R69,Hard,es
Estructuras de poder problemáticas,R70,Hard,es
La gente está silenciada,R71,Hard,es
Aumenta la migración,R72,Medium,es
Aumenta la densidad de población,R73,Medium,es
Reduce la densidad de población,R74,Medium,es
Limita el movimiento de las personas,R75,Medium,es
Usuario ciego,R76,Easy,es
Usuario enfermo,R77,Easy,es
Usuario de silla de ruedas,R78,Easy,es
Usuario sordo,R79,Easy,es
Usuario LGBTQIA+,R80,Easy,es
Usuario niño,R81,Easy,es
Usuario adolescente,R82,Easy,es
Usuario anciano,R83,Easy,es
Ladrones,R84,Medium,es
Políticos corruptos,R85,Hard,es
Introvertidos,R86,Easy,es
Grupo de adolescentes,R87,Easy,es
Usuario borracho,R88,Easy,es
Usuario drogado,R89,Easy,es
Usuario esquizofrénico,R90,Hard,es
Personas que no hablan inglés,R91,Medium,es
Usuario sin hogar,R92,Medium,es
Usuario discapacitado cognitivamente,R93,Hard,es
Policía corrupta,R94,Hard,es
Utilizado por niños,R95,Easy,es
Usuario transgénero,R96,Easy,es
Utilizado por no expertos,R97,Medium,es
Trabajo sindicalizado,R98,Medium,es
Inmigrantes,R99,Medium,es


